DB_id,company_name,settlement,county,country,notes
1442037079,J. Roach,Plymouth,,England,
1449128628,Thomas Burnside,Dublin,,Ireland,
1470580140,Mount Solus Press,Blackrock,Dublin,Ireland,
1471483069,Robert Gibson,Whitehaven,Cumberland,England,
1482348727,C. Bentham,Dublin,,Ireland,
1484787265,H. Mozley,Gainsborough,,England,
1495845045,Ronan Press Limited,Lurgan,Armagh,Ireland,
1507419572,G. Hazard,London,,England,
1514759536,Kirkwood and Co.,Glasgow,,Scotland,
1521175676,Irish Printers Ltd.,Dublin,,Ireland,
1521921097,Russell Press Ltd.,Nottingham,Nottinghamshire,England,
1557509525,John S. Folds,Dublin,,Ireland,
1582961606,Limerick Offset Printers,Limerick,,Ireland,
1605144570,T. Maiden,London,,England,
1617223139,Alley and Co.,Dublin,,Ireland,
1629934195,McCormick and Robie,Belfast,,Ireland,
1631166438,Clo Iar-Chonnachta,Indreabhan,Connemara,Ireland,
1647889898,"Longman, Hurst, Rees, Orme, and Brown",London,,England,
1656556726,Betaprint,Dublin,,Ireland,
1656561649,Lee Press,Cork,,Ireland,
1658868713,G. A. Wall,Richmond,,England,
1673495483,Dove,London,,England,
1678769943,Ben-Day Press Ltd.,Dublin,,Ireland,
1717070084,W. Oxberry,London,,England,
1734103987,Dorset Press,Dublin,,Ireland,
1759563974,W. F. Wakeman,Dublin,,Ireland,
1764931853,Berry's,Westport,,Ireland,
1789412491,Millar Ritchie,London,,England,
1792430243,H. Baldwin and Son,London,,England,
1803562197,Belfast News-Letter,Belfast,,Ireland,
1803607653,"Cox, Son, and Baylis",London,,England,
1816229058,Dominick Press,Dublin,,Ireland,
1827249314,Victor McMurray,Lisburn,Antrim,Ireland,
1835330254,"Ulster Productions Co., Ltd.",Belfast,,Ireland,
1844613861,"Robson, Levy & Franklyn",London,,England,
1869666974,"The Kerryman, Ltd.",Tralee,Kerry,Ireland,
1877897404,TipSet,Galway,,Ireland,
1890276864,Espy and Cross,Dublin,,Ireland,
1912477460,Erskine Macdonald,London,,England,
1920012820,Robert F. Ward,Belfast,,Ireland,
1934312826,Oliver and Boyd,Edinburgh,,Scotland,
1938309504,R. Napper,Dublin,,Ireland,
1946154831,B. Bensley,London,,England,
1974681043,Whittingham and Rowland,London,,England,
1990938924,Privately printed,,,,
2000029464,Parkgate Printing Works,Dublin,,Ireland,
2013808720,Guilfoyle Printing Co.,Belfast,,Ireland,
2013961224,R. Cruttwell,Bath,,England,
2025933464,P. Egan,London,,England,
2037658071,Davidson and McCormick,Belfast,,Ireland,
2052305269,Browne and Nolan,Dublin,,Ireland,
2065085655,William Clowes & Sons,Beccles,,England,
2065968931,The Kilkenny Journal,Kilkenny,,Ireland,
2081201513,Albion Press,London,,England,
2084842311,Minerva-Press,London,,England,
2085650526,P.D. Hardy,Dublin,,Ireland,
2086941037,The Richview Press,Dublin,,Ireland,
2097780261,D. N. Shury,London,,England,
2108811415,Roden and Lewis,London,,England,
2111824084,T.H. Jordan,Belfast,,Ireland,
2118208227,H. Reynell,London,,England,
