publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-1896162671,0,0,Published in The Irish Press.,,0,0,0,0,0
-1896137572,0,0, ,,0,0,0,0,0
-1895921533,0,0, ,,0,0,0,0,0
-1895626230,0,0,Published in The Irish Press,,0,0,0,0,0
-1893392877,0,0, ,,0,0,0,-1,0
-1893233960,0,0,yearly volume,,1912,1,1912,12,0
-1893034928,0,0,Oct-Dec,,,,,,0
-1892674929,0,0, ,,0,0,0,0,0
-1892593834,0,0,Published in The Irish Press.,,0,0,0,0,0
-1890880033,0,0, ,,0,0,0,0,0
-1890370001,0,0, ,,0,0,0,-1,0
-1890124717,0,0,Published in The Irish Press,,0,0,0,0,0
-1888551237,0,0, ,,0,0,0,0,0
-1888296586,0,0, ,,0,0,0,0,0
-1887992262,0,0, ,,0,0,0,0,0
-1887585433,0,0, ,Summer,0,-1,0,0,0
-1887316164,0,0, ,,0,0,0,-1,0
-1887051478,0,0,Published in The Irish Press.,,0,0,0,0,0
-1886882337,0,0,No year or season given [year=1985],,0,0,0,0,0
-1886732276,0,0, ,Autumn,0,0,0,0,0
-1886221583,0,0, ,Spring,,,,,0
-1885936304,0,0, ,,0,0,0,-1,0
-1885822640,0,0, ,,0,-1,0,0,0
-1885039370,0,0, ,,0,0,0,0,0
-1884308587,0,0,Published in The Irish Press.,,0,0,0,0,0
-1882755357,0,0, ,,0,0,0,0,0
-1882585737,0,0, ,,0,0,0,-1,0
-1879844938,0,0, ,,0,0,0,-1,0
-1879700619,0,0, ,,0,0,0,0,0
-1877316884,0,0, ,,0,0,0,0,0
-1875501527,0,0, ,,0,0,0,0,0
-1874874359,0,0, ,Winter,0,-1,0,0,0
-1873928516,0,0, ,Spring,0,0,0,0,0
-1873863251,0,0, ,Summer,0,0,0,-1,0
-1873387660,0,0,yearly volume,,1951,1,1951,12,0
-1872748705,0,0, ,,0,0,0,-1,0
-1872151599,0,0, ,,0,0,0,-1,0
-1871650384,0,0, ,,,,,,0
-1870912274,0,0, ,,0,0,0,-1,0
-1869901074,0,0, ,,,,,,0
-1868656214,0,0, ,Spring,,,,,0
-1867965306,0,0, ,,0,0,0,0,0
-1867784554,0,0, ,,0,0,0,0,0
-1866795542,0,0, ,,,,,,0
-1864615968,0,0, ,,0,-1,0,0,0
-1864363354,0,0, ,,0,0,0,-1,0
-1863415777,0,0,April-June,,,,,,0
-1861121242,0,0, ,,0,0,0,0,0
-1859600011,0,0,Produced by the Dublin Writers' Workshop,,0,0,0,0,0
-1859344212,0,0, ,,,,,,0
-1859008897,0,0, ,,0,0,0,0,0
-1857823240,0,0, Published in The Irish Press,,0,0,0,0,0
-1855204129,0,0, ,,0,-1,0,0,0
-1855078565,0,0, ,,0,0,0,0,0
-1855030552,0,0, ,,0,0,0,0,0
-1854719834,0,0, ,,0,-1,0,0,0
-1854128312,0,0,,,0,0,0,0,0
-1853566091,0,0, ,,,,,,0
-1853041896,0,0,July-Sept,,,,,,0
-1853034104,0,0, ,,0,0,0,0,0
-1851570356,0,0, ,,0,0,0,0,0
-1849687359,0,0, ,,,,,,0
-1848703545,0,0, ,,,,0,0,0
-1848193652,0,0, ,,2000,2,2000,2,0
-1847713830,0,0, ,Winter,0,0,0,0,0
-1845521534,0,0, ,,0,0,0,0,0
-1845103635,0,0, ,,,,,,0
-1843815790,0,0, ,,0,0,0,0,0
-1841980231,0,0, ,,,,,,0
-1841958652,0,0, ,Summer,0,-1,0,0,0
-1841647217,0,0, ,,0,0,0,-1,0
-1841579844,0,0,The 'Anthology of Argentinian Poetry' is co-edited by Liliana Heer and Ana Arzoumanian. The remainder of this issue is edited by Michael Smith.,Summer,,,,,0
-1841379576,0,0, ,,1990,0,0,0,0
-1838242573,0,0,Published in The Irish Press.,,0,0,0,0,0
-1837942927,0,0, ,,0,-1,0,0,0
-1837890071,0,0, ,,0,-1,0,0,0
-1837822662,0,0, ,,0,-1,0,0,0
-1837729039,0,0, ,,0,0,0,-1,0
-1837475389,0,0, ,,0,0,0,0,0
-1837181306,0,0, ,,,,,,0
-1837086020,0,0, ,,0,0,0,-1,0
-1837077762,0,0, ,,0,0,0,0,0
-1835848780,0,0, ,,0,-1,0,0,0
-1835133002,0,0,Published in The Irish Press.,,0,0,0,0,0
