DB_id,company_name,settlement,county,country,notes
-779265819,Molodaia gvardiia,Moscow,,Russia,
-778456312,Co-op Books Ltd.,Dublin,,Ireland,
-777688776,North-South Books,New York,,USA,
-777069227,Wydaw. Pax,Warsaw,,Poland,
-776441721,G. E. C. Tait,Edinburgh,,Scotland,
-775376658,Berghahn Books,New York,,USA,
-774612088,Random House,New York,,USA,
-773154310,Izdatelstvo Otechestvo,Sofia,,Bulgaria,
-773136191,"Izd-vo ""Mysl""",Leningrad,,Russia,
-773046553,Rivingtons,London,,England,
-771712886,Trauben,Turin,,Italy,
-770137140,National Pub. Co.,Toronto,,Canada,
-769773344,"Gould, Kendall & Lincoln",Boston,Massachussetts,USA,
-768932383,D. W. Evans,New York,,USA,
-766530597,Walker,New York,,USA,
-766073267,Evangelische Buchhandlung,Emmishofen,,Germany,
-765793500,J.W. Boyd,Belfast,,Ireland,
-762824804,Chappell,London,,England,
-762639347,Parsonstown,Shields,,England,
-760623893,The Educational Company of Ireland,Dublin,,Ireland,
-759326637,Mellifont Press,London,,England,
-758870692,De Arbeiderspers,Amsterdam,,Holland,
-758077290,U.P. James,Cincinnati,Ohio,USA,
-756865376,Forum,Stockholm,,Sweden,
-756235743,SugarCo,Milan,,Italy,
-755142848,H. Mozley,Gainsborough,,England,
-753641231,Giulio Sardi,Livorno,,Italy,
-752095399,Proscenium Press,Newark,,USA,
-751675120,J. Quinn,New York,,USA,
-750980651,John Miller,London,,England,
-750580289,Mercy Publications,New York,,USA,
-750305291,Aylott & Jones,London,,England,
-749970659,Eden Press,London,,England,
-749212079,Arbor House,New York,,USA,
-748519322,George Redvers Allen,Chicago,,USA,
-747449311,Offaly County Council,Tullamore,Offaly (Kings),Ireland,
-747157971,Benziger Brothers,New York,,USA,
-745239560,Hunt and Clarke,London,,England,
-744893714,M. Parrish,London,,England,
-744668393,Virtue,Dublin,,Ireland,
-742888910,National-American Woman Suffrage Association,New York,,USA,
-739056992,Hodder & Stoughton Educational,London,,England,
-737683085,S. French,London,,England,
-736235292,Harley House,London,,England,
-736227094,Henry Altemus,Philadelphia,,USA,
-735602243,Literary Production Company,London,,,
-734824000,R. Dutton,London,,England,
-732822806,Browne & Howell,Chicago,,USA,
-732805520,Stonebridge,Ebbw Vale and Corofin,Clare,Ireland,
-731480507,Interim Press,,,Ireland,
-729995083,Choristers' Guild,Garland,Texas,USA,
-725440717,Davies and Robertson,Paris,,France,
-725247124,F.C. & J. Rivington,London,,England,
-724536592,Messrs. Rivingtons,London,,England,
-723170720,Browne & Nolan,Dublin,,Ireland,
-721212856,John Olivier,London,,England,
-720987889,Grädener,Hamburg,,Germany,
-719868323,George Routledge & Sons,London,,England,
-718478759,Hibernia Press,Dublin,Dublin,Ireland,
-718039735,American Sunday-School Union,Philadelphia,,USA,
-715290508,Leisure Library,London,,England,
-714688099,Coolgreany,Inch,Wexford,Ireland,
-711321728,"University of Limerick, Women's Studies",Limerick,,Ireland,
-710536186,Archipel,Amsterdam,,Holland,
-710124297,Izvestia,Moscow,,Russia,
-706163110,Matthew Carey,Philadelphia,,USA,
-705800952,Dover Publications,New York,,USA,
-704232407,Edwin Mellen Press,Lampeter,,Wales,
-704133919,The Dial Press,New York,,USA,
-700155110,Cavan County Council,Cavan,,Ireland,
-699253602,J,,,,
-699218464,Cole's Book Arcade Print,Melbourne,,Australia,
-698286363,Aldine,,,,
-696784486,Carlton & Porter,New York,,USA,
-695702199,Allen & Unwin,London,,England,
-695373048,L. Smithers,London,,England,
-693293133,Tatknigoizdat,Kazan,,Tartarstan,
-692273531,Royal Society,London,,England,
-692112518,New York Pub. Co.,New York,,USA,
-691720728,Joseph,London,,England,
-691215404,"Sherwood, Jones & Co.",London,,England,
-690288753,"Izd-vo ""EKSMO Press""",Moscow,,Russia,
-687335242,Lutterworth,London,,England,
-684212839,Roaring Brook Press,New Milford,Connecticut,USA,
-683576776,Windows Publications,,,Ireland,
-683303602,Giant Steps,Lancaster,,England,
-681787119,G. Munro's Sons,New York,,USA,
-679278190,Sophia Institute Press,Manchester,New Hampshire,USA,
-676886785,J. Curley,South Yarmouth,Massachussetts,USA,
-675860518,Irish Peatlands Conservation Council,Dublin,,Ireland,
-674977693,Excelsior Catholic Publishing,New York,,USA,
-674583282,Walter James Turner,London,,England,
-672863923,Perkinpine & Higgins,Philadelphia,,USA,
-672158365,Anvil Press Poetry,London,,England,
-672111806,The New Nation Press,Dublin,,Ireland,
-672024018,J. Bysh,London,,England,
-671099936,Valancourt Books,Chicago,Illinois,USA,
-670729193,Kenkyusha,Tokyo,,Japan,
-669470561,Presbyterian Board of Publication,Philadelphia,,USA,
-669364465,Rose Pub. Co.,Toronto,,Canada,
-669253728,Eds. Paez,Madrid,,,
-667543944,Young,New York,,USA,
-666684453,A. Figgis,Dublin,Dublin,Ireland,
-662475547,Rare Books Group of the Library Association of Ire,Dublin,,Ireland,
-661344900,Paragon,Bath,,England,
-659379589,Grossman Publishers,New York,,USA,
-658867525,Sheed & Ward Ltd.,London,,England,
-658610427,Aubane Historical Society,Aubane,Cork,Ireland,
-658530644,W. B. Whittaker,London,,England,
-658187885,B. Coutaz,Arles,,France,
-658180029,William Rice,London,,England,
-657876527,"Izd-vo ""Puchina""",Moscow,,Russia,
-656802112,Hamilton & Adams,London,,England,
-656622160,John Warren,Edinburgh,,Scotland,
-656079255,Roscrea People Co-Operative Society Ltd.,Roscrea,Tipperary,Ireland,
-651712346,Opus Natkadatelstvi,,,[Czech Republic?],
-651585273,Lewis Colby & Co.,New York,,USA,
-650956664,A. Wessels Company,New York,,USA,
-650762103,Co-operative Publishing Society of Foreign Workers,Moscow,,Russia,
-649757803,H. Nicolle,Paris,,France,
-649287054,Eichosha,Tokyo,,Japan,
-645066878,Gosselin,Paris,,France,
-643395284,T. Garland,London,,England,
-643352393,Dublin Magazine,Dublin,,Ireland,
-641681634,S. F. Bradford,Philadelphia,,USA,
-640989863,University of Ulster,,,Ireland,
-640658574,The Unicorn Press,London,,England,
-638581416,E. Thompson Baird,Richmond,Virgina,USA,
-638033721,Print'n Press Publications,St. Stephen,New Brunswick,Canada,
-637187497,"Little, Brown Canada",Toronto,,Canada,
-635613703,G. Munro,New York,,USA,
-634410527,Wydaw. Literackie,Kraków,,Poland,
-633171997,Joshua Abell,Dublin,,Ireland,
-628769165,"P. Wogan, W. Porter & J. Stockdale",Dublin,,Ireland,
-628361497,Gráf. de Coimbra,Coimbra,,Portugal,
-628142957,Tyndale House Publications,Wheaton,Illinois,USA,
-624361392,W. and C. Tait,Edinburgh,,Scotland,
-615549703,E. Stock,London,,England,
-615335144,Caliban,London,,England,
-615290688,Fallon & Co.,Dublin,,Ireland,
-613222075,A. Salani,Florence,,Italy,
-611482923,Hans Putty Verlag,Wuppertal,,Germany,
-610276429,George Shade,London,,England,
-609266593,"Copp, Clark",Toronto,,Canada,
-608905867,Herder,St. Louis,,USA,
-608157174,Ashgate,Aldershot,,England,
-607686104,Cumann Chuimhneachain Ui Dhonnabhain Rosa,Skibbereen,,Ireland,
-606712087,Anthonian Press,Dublin,,Ireland,
-605880334,William O'Brien,Dublin,,Ireland,
-605742063,Ed. de L'Olivier,Paris,,France,
-605075223,G. Robertson,Melbourne,,Australia,
-604017553,R.F. Fenno,New York,,USA,
