DB_id,title,lastname_keyname,alternative_spelling,firstname,firstname_alternative_spelling,middle_names,primary_researcher,male_female,type_of_name,is_alternative_name_of,is_master_name,dob_is_fl,dob_is_circa,birth_year,birth_month,birth_day_of_month,born_settlement,born_county,born_country,dod_is_fl,dod_is_circa,died_year,died_month,died_day_of_month,died_settlement,died_county,died_country,associated_places,education,last_edited,notes,sources,completed
-2098862179,,Morgan,,Sydney,,,JM,female,Married,-1526404333,0,1,0,1778,0,0,Dublin,Dublin,Ireland,0,0,1859,4,13,London,,England,,home,2005-08-19 00:00:00,,NDNB,0
-2097741144,,Mulally,,Teresa,,,,female,,0,0,0,0,1728,0,0,Dublin,,Ireland,0,0,1803,0,0,,,,,,2006-09-13 00:00:00,Education reformer,FD V,0
-2096570502,,O'Higgins,,Kay,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-13 00:00:00,Contributor to The Irish Monthly 1953,,0
-2096188638,,Attanasio,,Maria,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Italy,,2006-02-14 00:00:00,Poet.,Cyphers 46 [c.1999],0
-2095376369,,Moore,,Carol,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-09-22 00:00:00,,IFTN,0
-2095320314,,Nic Asgaill,,Mairéad,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-04-24 00:00:00,,,0
-2094871722,,Burke,,Helen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,tertiary,2007-07-22 00:00:00,,,0
-2094734669,,Coleman ,,Mary,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-02 00:00:00,,Catholic Bulletin April 1911,0
-2094583547,,Lessing,,Doris,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-12-15 00:00:00,Not Irish,,0
-2094393051,,Muldoon,,Paul,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-08-24 00:00:00,,,0
-2094356911,,Redmond,,Brigid,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,tertiary,2005-09-05 00:00:00,"County Librarian, Wicklow",Capuchin Annual,0
-2093300404,Mrs,Esmonde,,John,,,,female,Married,1671350638,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-06-06 00:00:00,"Contributor to The Irish Monthly 1914-32, the Freeman's Journal & the Westminster Gazette.",AC,0
-2093284445,,Dowling,,Emily,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-05 00:00:00,,,0
-2093254745,,Varian,,Susan,,,,female,,0,0,1,0,1904,0,0,Dublin,,,0,0,0,0,0,,,,Dublin,unknown,2007-10-19 00:00:00,Playwright,,0
-2092803845,,Ní Shúilleabháin,,Eibhlís,,,,female,,0,0,0,0,1911,0,0,Great Blasket Island,Kerry,Ireland,0,0,1971,9,12,,,Ireland,,,2006-08-16 00:00:00,,Field Day IV,0
-2092651072,,Ní Ghairbhí,,Áine,,,,female,,0,0,0,0,0,0,0,,Donegal,Ireland,0,0,0,0,0,,,,,,2006-05-13 00:00:00,,,0
-2092383035,,Dinh,,Thuy,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-03-06 00:00:00,,Cyphers 54 (c.2003),0
-2092169625,,O'Horan,,Eily,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-10 00:00:00,,,0
-2091185542,,Nic Giolla Easpaig,,Eibhlín,,,,female,,,0,0,0,1952,0,0,Bun Beag,Donegal,Ireland,0,0,0,0,0,,,,Manchester,,2005-06-01 00:00:00,,Field Day,0
-2090892418,,Andrews,,Elizabeth,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,tertiary,2005-08-19 00:00:00,Archaeologist.,Brown,0
-2090504949,,Mercier,,Vivian,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-03 00:00:00,,1000 Year of Irish Prose (1952),0
-2090482718,,O'Neill,,Alicia,,,,female,Married,-1016170235,0,0,0,0,0,0,Killabeg,Wexford,Ireland,0,0,1858,9,30,,,,,,2005-06-07 00:00:00,,AC,0
-2090187923,,D.E.,,,,,,female,Pseudonym,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-11 00:00:00,,Irish Citizen,0
-2089942156,,Connolly,,Sybil,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-12 00:00:00,,,0
-2089651893,,Tweedie,,Heather,,,,female,,0,0,0,0,0,0,0,Carrickfergus,Antrim,Ireland,0,0,0,0,0,,,,,,2006-05-20 00:00:00,Poet,Black Mountain Review 5 (2002),0
-2089348167,,Tree,,Iris,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-12-07 00:00:00,Poet,"Dublin Magazine, 1937",0
-2088098107,,Peters,,Anne,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-04 00:00:00,,,0
-2088037427,,Ní Bhriain,,Úna,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-12 00:00:00,,,0
-2087582777,,Byrne,,Mary,,J.,,female,,0,0,0,0,0,0,0,,,Ireland,0,0,0,0,0,,,,Paris,,2006-02-14 00:00:00,Writer,Cyphers 43 (1996),0
-2086571112,,Thomson,,P.,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,Irish Citizen,0
-2086103744,,Burns,,Elizabeth,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,Scotland,,2006-02-14 00:00:00,Poet,Krino 12 (1991),0
-2086036640,,Ní Dhuibhne,,Éilis,,,,female,Irish Maiden,2039487321,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-09-01 00:00:00,,,0
-2085395181,,O'Dwyer,,Ray,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-09-30 00:00:00,,IFTN,0
-2085368184,,Smith,,Odhrán,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-09 00:00:00,,Listowel Writers' Week (2000),0
-2083636253,,Raftery,,Deirdre,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,tertiary,2007-07-20 00:00:00,,,0
-2082693561,,Ó hUrmholtaigh,,Nollaig,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-10-06 00:00:00,,,0
-2082593182,,Sale Barker,,Lucy,,D.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-10-27 00:00:00,,DUM Jan 1871,0
-2082421986,,Ward,,Kerri,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-09 00:00:00,,Listowel Writers' Week (2004),0
-2082220705,,O'Riordan,,Eileen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-07 00:00:00,,Crane Bag 1983,0
-2081496766,,Stuart,,Francis,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-19 00:00:00,,,0
