publication_id,length_minutes,production_company,country_of_origin,country_of_origin_2,country_of_origin_3,notes,date_video,date_dvd
-1166546911,0,1052490912,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Oscailt),,
-1165272931,96,1181112460,USA,,,,,
-1163645951,26,119299072,Ireland,,,,,
-1158470115,0,1153387532,Ireland,,,,,
-1157144064,15,-279588773,Ireland,,,,,
-1150368033,3,874403012,Ireland,,,Choreographed mime. With Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
-1146669782,12,593841296,Ireland,,,Winner Irish Film and Television Awards 2005,,
-1145452768,12,-147488093,Ireland,,,"Cork Film Festival, 1989. 16mm.",,
-1141025364,19,627615541,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Oscailt series),,
-1132363669,0,1909164161,Ireland,,,,,
-1128327510,3,627615541,Ireland,Russia,,Doclands Documentary Film Festival 2001,0,0
-1126740951,26,1944976840,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann. Irish Film Archive list release date as 1997.,,
-1125358420,3,1047963641,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
-1122828347,52,-1096680108,Ireland,,,,,
-1114047423,3,-944236148,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Short Shorts),,
-1109794250,4,627615541,Ireland,,,,0,0
-1102628903,26,2057377336,Ireland,,,,,
-1102457840,54,-693050197,Ireland,,,,,
-1100295458,60,1273937265,USA,,,,,
-1096873644,4,-1252327043,Ireland,,,Galway Film Festival 2005 (event programme),,
-1094316631,0,627615541,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks). AKA The Big Picture. Part of Frameworks series.,,
-1092555885,0,1127207579,Ireland,,,,,
-1080816411,27,-820014348,England,,,,,
-1043202961,0,580786995,Ireland,,,,,
-1034886754,30,-630515804,Ireland,,,,,
-1031582972,0,707617775,USA,,,6-7 reels,,
-1011004990,18,-953753551,Ireland,,,Screened on 26/01/98 as part of RTE's True Lives documentary series,,
-1008122751,4,627615541,Ireland,,,,0,0
-982278786,0,-28187865,,,,Part of Europe wide filmmakers collaboration project.,0,0
-979438827,53,2043453412,Ireland,,,,,
-969712723,3,627615541,Ireland,,,,0,0
-968411870,156,-1068090144,Ireland,,,With Nemeton Productions. 6x26 minute programmes,,
-964886923,192,874403012,Ireland,,,With BBC Northern Ireland and RTÉ. 2x96 minute programmes.,,
-964596066,15,-953753551,Ireland,,,This film was awarded a Fuji Scholarship in 1995.,,
-964220438,93,610141229,Ireland,,,"With Moviefan (Denmark), Lolafilms SA (Spain) and Zoma Films (UK)",,
-958588775,180,-1739779691,Ireland,,,6x30minute programmes,,
-956887900,14,627615541,Ireland,,,,,
-948534445,94,124134874,Ireland,,,With the Irish Film Board and Abbey Films,,
-946772128,8,90810171,Ireland,,,"Part of a trilogy incorporating Too Dark for Night/Desert, and Forty Below. With Irish Film Board/Bord Scannán na hÉireann",,
-940910821,10,-953753551,Ireland,,,"16mm, b&w.",,
-931048465,10,627615541,Ireland,,,,,
-912863892,3,1708453635,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann,,
-894981610,12,627615541,Ireland,,,,,
-887554733,10,-953753551,Ireland,,,"Galway Film Fleadh, 17/7/1993. Awarded a Certificate of Merit at the 1994 Cork Film Festival",,
